order_id,customer_id,postal_code,product_id,sales,quantity,discount,profit,category,subcategory,product_name,order_date,ship_date,ship_mode,customer_name,segment,country,city,state,region
CA-2019-152156,CG-12520,42420,FUR-BO-10001798,261.96,2,0,41.9136,Furniture,Bookcases,Bush Somerset Collection Bookcase,11/8/2019,11/11/2019,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South
CA-2019-152156,CG-12520,42420,FUR-CH-10000454,731.94,3,0,219.582,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",11/8/2019,11/11/2019,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South
CA-2019-138688,DV-13045,90036,OFF-LA-10000240,14.62,2,0,6.8714,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,6/12/2019,6/16/2019,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West
US-2018-108966,SO-20335,33311,FUR-TA-10000577,957.5775,5,0.45,-383.031,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,10/11/2018,10/18/2018,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South
US-2018-108966,SO-20335,33311,OFF-ST-10000760,22.368,2,0.2,2.5164,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,10/11/2018,10/18/2018,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South
CA-2017-115812,BH-11710,90032,FUR-FU-10001487,48.86,7,0,14.1694,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
CA-2017-115812,BH-11710,90032,OFF-AR-10002833,7.28,4,0,1.9656,Office Supplies,Art,Newell 322,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
CA-2017-115812,BH-11710,90032,TEC-PH-10002275,907.152,6,0.2,90.7152,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
CA-2017-115812,BH-11710,90032,OFF-BI-10003910,18.504,3,0.2,5.7825,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
CA-2017-115812,BH-11710,90032,OFF-AP-10002892,114.9,5,0,34.47,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
CA-2017-115812,BH-11710,90032,FUR-TA-10001539,1706.184,9,0.2,85.3092,Furniture,Tables,Chromcraft Rectangular Conference Tables,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
CA-2017-115812,BH-11710,90032,TEC-PH-10002033,911.424,4,0.2,68.3568,Technology,Phones,Konftel 250 Conference phone - Charcoal black,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
CA-2020-114412,AA-10480,28027,OFF-PA-10002365,15.552,3,0.2,5.4432,Office Supplies,Paper,Xerox 1967,4/15/2020,4/20/2020,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,South
CA-2019-161389,IM-15070,98103,OFF-BI-10003656,407.976,3,0.2,132.5922,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,12/5/2019,12/10/2019,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,West
US-2018-118983,HP-14815,76106,OFF-AP-10002311,68.81,5,0.8,-123.858,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",11/22/2018,11/26/2018,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central
US-2018-118983,HP-14815,76106,OFF-BI-10000756,2.544,3,0.8,-3.816,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,11/22/2018,11/26/2018,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central
CA-2017-105893,PK-19075,53711,OFF-ST-10004186,665.88,6,0,13.3176,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",11/11/2017,11/18/2017,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central
CA-2017-167164,AG-10270,84084,OFF-ST-10000107,55.5,2,0,9.99,Office Supplies,Storage,Fellowes Super Stor/Drawer,5/13/2017,5/15/2017,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,West
CA-2017-143336,ZD-21925,94109,OFF-AR-10003056,8.56,2,0,2.4824,Office Supplies,Art,Newell 341,8/27/2017,9/1/2017,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West
CA-2017-143336,ZD-21925,94109,TEC-PH-10001949,213.48,3,0.2,16.011,Technology,Phones,Cisco SPA 501G IP Phone,8/27/2017,9/1/2017,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West
CA-2017-143336,ZD-21925,94109,OFF-BI-10002215,22.72,4,0.2,7.384,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",8/27/2017,9/1/2017,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West
CA-2019-137330,KB-16585,68025,OFF-AR-10000246,19.46,7,0,5.0596,Office Supplies,Art,Newell 318,12/9/2019,12/13/2019,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central
CA-2019-137330,KB-16585,68025,OFF-AP-10001492,60.34,7,0,15.6884,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",12/9/2019,12/13/2019,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central
US-2020-156909,SF-20065,19140,FUR-CH-10002774,71.372,2,0.3,-1.0196,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",7/16/2020,7/18/2020,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East
CA-2018-106320,EB-13870,84057,FUR-TA-10000577,1044.63,3,0,240.2649,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,9/25/2018,9/30/2018,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,West
